product,product_category,warehouse_dist_km,product_weight_kg,shipment_mode,warehouse_processing_time_days,demand_forecast_unit,shipping_cost,delivery_time_days
Laptop,Electronics,1448.36,3.1,Air,2,4516,351.67,4
Laptop,Electronics,1130.87,2.57,Air,1,2395,277.57,3
Keyboard,Accessories,1523.84,1.77,Road,5,5436,154.78,9
Headphones,Accessories,1961.51,1.85,Rail,1,3307,164.32,8
Refrigerator,Home Appliances,1082.92,22.45,Air,3,409,1058.46,5
Monitor,Electronics,1082.93,0.84,Rail,5,2583,93.35,9
Monitor,Electronics,1989.61,2.38,Rail,4,1822,178.21,11
Drone,Gadgets,1583.72,4.2,Road,3,2864,202.44,8
Keyboard,Accessories,965.26,0.33,Air,3,2653,196.35,5
Keyboard,Accessories,1471.28,1.26,Road,3,3332,147.29,7
SSD,Storage,968.29,0.47,Air,1,2995,199.53,3
Mouse,Accessories,967.14,0.66,Air,5,3799,200.03,7
Hard Drive,Storage,1320.98,0.5,Air,3,2143,270.45,5
Hard Drive,Storage,243.36,0.47,Rail,3,1370,21.82,4
Refrigerator,Home Appliances,337.54,54.0,Rail,2,742,837.0,3
Mouse,Accessories,918.86,2.29,Road,5,5509,99.2,8
Drone,Gadgets,693.58,2.0,Rail,2,2587,75.49,5
Microwave,Home Appliances,1357.12,47.3,Sea,2,1485,654.46,10
Headphones,Accessories,745.99,1.87,Air,5,5834,167.9,6
Drone,Gadgets,493.85,4.86,Rail,1,969,88.11,3
Drone,Gadgets,1932.82,3.91,Air,3,2280,484.31,6
Headphones,Accessories,1087.11,0.21,Road,3,6100,105.37,6
Keyboard,Accessories,1233.76,2.64,Air,5,6988,273.15,7
Mouse,Accessories,487.63,1.25,Air,5,2004,110.03,6
Drone,Gadgets,927.81,2.6,Air,3,1759,250.56,5
Keyboard,Accessories,1255.46,0.87,Road,1,2701,124.7,5
Microwave,Home Appliances,624.5,58.86,Rail,2,462,932.86,4
TV,Home Appliances,1387.85,16.59,Road,5,1066,431.85,9
Mouse,Accessories,899.68,2.2,Air,3,5588,201.94,5
Drone,Gadgets,1054.15,0.87,Air,3,586,232.58,5
Smart Watch,Gadgets,899.15,1.38,Air,1,741,214.33,3
Keyboard,Accessories,2126.14,2.74,Rail,1,6211,181.05,9
Speaker,Accessories,1193.25,2.07,Air,2,6677,259.35,4
Drone,Gadgets,671.14,1.44,Road,4,1279,81.71,6
Laptop,Electronics,1611.27,2.81,Air,4,3412,378.45,7
Laptop,Electronics,589.58,0.71,Road,1,2518,63.42,3
Mouse,Accessories,1304.43,1.7,Air,2,4281,277.89,4
Microwave,Home Appliances,220.16,53.47,Road,5,400,983.6,6
Laptop,Electronics,535.91,3.89,Rail,2,2181,73.99,4
Refrigerator,Home Appliances,1298.43,33.03,Sea,1,537,479.46,8
Microwave,Home Appliances,1569.23,59.24,Road,4,784,1216.97,8
TV,Home Appliances,1285.68,57.78,Sea,5,1196,775.64,12
Mouse,Accessories,1142.18,1.03,Rail,5,6441,95.49,9
Tablet,Electronics,1049.45,0.7,Road,5,4992,107.47,8
Camera,Gadgets,460.74,0.57,Road,2,780,51.07,3
Camera,Gadgets,840.08,3.47,Air,1,2833,254.77,2
Keyboard,Accessories,969.68,1.93,Road,5,6630,102.35,8
Drone,Gadgets,1728.56,4.69,Air,3,1477,462.96,6
SSD,Storage,1371.81,0.37,Road,4,1795,133.91,8
Laptop,Electronics,318.48,2.1,Rail,1,1800,42.28,2
Camera,Gadgets,1362.04,2.68,Air,3,781,339.41,5
Speaker,Accessories,1007.46,1.0,Road,5,4478,101.52,8
Smart Watch,Gadgets,861.54,2.79,Road,5,1726,116.19,7
Mobile Phone,Electronics,1505.84,1.43,Rail,5,2136,131.91,11
SSD,Storage,1715.5,0.99,Road,2,1581,170.63,7
Drone,Gadgets,1665.64,1.48,Rail,1,878,148.05,7
Refrigerator,Home Appliances,780.39,10.29,Air,2,736,541.95,3
Headphones,Accessories,1045.39,1.74,Road,1,2916,108.71,4
Mobile Phone,Electronics,1365.63,2.41,Rail,5,3763,128.53,10
Headphones,Accessories,1687.77,0.56,Air,1,4931,343.15,4
Mouse,Accessories,960.41,2.07,Air,5,5329,212.78,7
Smart Watch,Gadgets,1107.17,1.03,Rail,2,1225,98.87,6
Microwave,Home Appliances,646.83,17.33,Rail,4,708,311.7,6
Hard Drive,Storage,601.9,1.22,Air,1,2427,135.63,2
Mouse,Accessories,1606.26,2.49,Road,3,3864,166.15,8
